3532702	3532775	6
3532977	3533033	6
3533052	3533303	8
3533219	3533283	6
3533305	3533317	8
3533335	3533991	0
3533388	3533447	8
3533472	3533533	6
3533487	3533548	8
3533719	3533781	6
3533968	3534034	6
3534164	3534406	9
3534226	3534289	6
3534479	3534554	6
3534583	3535307	9
3534758	3534837	6
3535051	3535181	26
3535054	3535124	6
3535092	3535191	13
3535105	3535157	25
3535329	3535389	6
3535578	3535643	6
3535629	3535651	25
3535631	3535764	26
3535685	3535734	25
3535736	3535746	25
3535770	3536277	0
3535779	3535790	26
3535796	3535833	9
3535836	3535902	6
3536094	3536160	6
3536106	3536107	18
3536109	3536110	18
3536298	3539892	29
3536349	3536410	6
3536454	3536700	26
3536457	3536516	25
3536597	3536659	6
3536635	3536659	25
3536843	3536906	6
3537093	3537169	6
3537381	3537442	6
3537626	3537657	14
3537634	3537698	6
3537642	3537650	27
3537663	3537951	3
3537708	3544289	6
3537794	3537920	26
3537794	3537930	9
3537819	3537863	13
3537822	3537827	25
3537864	3537865	13
3537927	3538315	0
3541316	3544902	29
3542411	3571019	28
3546404	3550003	29
3547769	3548249	6
3549269	3549749	6
3550769	3551069	6
3551476	3552676	29
3551789	3552269	6
3552809	3554114	29
3553169	3553649	6
3553470	3553796	0
3554363	3557048	29
3554549	3555149	6
3556229	3556829	6
3557789	3558389	6
3558124	3561708	29
3559349	3559949	6
3560909	3561569	6
3562349	3562829	6
3562800	3566390	29
3563729	3564449	6
3565349	3565829	6
3566367	3569718	26
3566466	3566536	13
3566472	3566486	25
3566537	3566539	13
3566540	3566548	13
3566549	3566550	13
3566578	3566619	25
3566638	3567480	12
3566718	3568084	0
3567089	3567749	6
3567601	3570972	9
3567640	3571222	29
3567907	3567939	13
3567939	3567981	25
3567994	3568019	25
3568090	3569193	0
3568117	3568179	10
3568123	3568619	22
3568516	3568524	8
3568545	3568554	8
3568782	3568828	7
3569041	3569162	13
3569095	3569247	25
3569163	3569165	13
3569167	3569168	13
3569199	3569857	0
3569254	3569404	12
3569518	3569638	10
3569641	3569650	25
